item,itemLabel,position,positionLabel,startDate,endDate,psid
Q10279146,Fábio Faria,Q96240294,Ministério das Comunicações,2020-06-17,,Q10279146-ed62f5f3-4655-ee28-2342-53701ad78509
Q10304982,Jair Bolsonaro,Q5176750,Presidente do Brasil,2019-01-01,,Q10304982-aa9dba23-4aca-8e9b-fc97-269d7d5f969b
Q10325465,Marcos Montes Cordeiro,Q18176428,"Ministério da Agricultura, Pecuária e Abastecimento",2022-03-31,,Q10325465-7437c178-4fdc-3e7c-1a8c-551d89058af6
Q105969706,Marcelo Queiroga,Q59346265,Ministério da Saúde,2021-03-23,,Q105969706-E1A9D08B-FC99-4C28-BB17-5AB5D5BDCBAC
Q106271551,Carlos Alberto Franco França,Q18176431,Ministério das Relações Exteriores,2021-03-29,,Q106271551-A498BDC4-570F-4D44-8D75-1F04A386DCDC
Q106290142,Anderson Gustavo Torres,Q18176440,Ministério da Justiça e Segurança Pública,2020-03-30,,Q106290142-B39F9591-97D9-4A5E-8730-700B923EFED6
Q106307801,Paulo Sérgio Nogueira de Oliveira,Q59346258,Ministério da Defesa,2022-03-31,,Q106307801-17C25A31-A324-46D1-AFA8-B0151A89B435
Q106621007,Carlos Alberto Gomes de Brito,Q59346275,Ministério do Turismo,2022-03-31,,Q106621007-9dc56d64-4702-961f-2f3b-d6ebe80ffc37
Q107348193,Joaquim Alvaro Pereira Leite,Q16141555,Ministério do Meio Ambiente,2021-06-23,,Q107348193-B1315318-1E18-4E54-A586-2A8E1444ECCA
Q107972708,Bruno Bianco,Q12276986,Advocacia-Geral da União,2021-08-06,,Q107972708-E8FE655E-DF7A-4142-8CC9-1B679C890CF8
Q111433242,Victor Godoy Veiga,Q59346259,Ministério da Educação,2022-03-29,,Q111433242-1ffc70cc-4078-6359-32b5-5f67494f99c4
Q111444580,Paulo Alvim,Q59346256,"Ministério da Ciência, Tecnologia e Inovações",2022-03-31,,Q111444580-4d349e97-4a07-c12e-21ed-c3dc5174ae21
Q111446648,José Carlos Oliveira,Q52334511,Ministério do Trabalho e Previdência Social,2022-03-31,,Q111446648-8A6DAC19-B35B-400C-B523-BBEB4C4D904D
Q111446662,Cristiane Britto,Q96239851,"Ministério da Mulher, da Família e dos Direitos Humanos",2022-03-31,,Q111446662-1A55F762-1638-41BB-906B-E2BD8F587868
Q111446664,Marcelo Sampaio,Q109920325,Ministério da Infraestrutura,2022-03-31,,Q111446664-423814E3-9407-495B-8193-148386AFECF2
Q111446676,Daniel de Oliveira Duarte Ferreira,Q109922293,Ministério do Desenvolvimento Regional,2022-03-31,,Q111446676-CBE367AE-B970-4F75-A744-E1523F090895
Q111446916,Célio Faria Júnior,Q63644927,Secretaria de Governo,2021-03-31,,Q111446916-9BDE8658-7B6E-422A-8D58-22C2CAE44626
Q111446919,Ronaldo Vieira Bento,Q96239481,Ministério da Cidadania,2022-03-31,,Q111446919-2ce7d0ad-45f1-3783-baab-5e870aa87019
Q15985219,Ciro Nogueira,Q5097042,Casa Civil,2021-07-26,,Q15985219-FECD27FC-DE81-49C7-981B-5DCBB4B6E32C
Q30936068,Wagner Rosário,Q98516321,Controladoria-Geral da União,2017-05-31,,Q30936068-F913BC84-550C-4202-91B0-E6758A034B83
Q52871852,Hamilton Mourão,Q2978540,vice-presidente da Repúblicaepública Federativa do Brasil,2019-01-01,,Q52871852-bfc192a2-b3c7-4a9e-a587-f8bfdb819c05
Q56347746,Paulo Guedes,Q105527854,Ministério da Economia,2019-01-01,,Q56347746-70ABDA16-E6BD-4E31-A0EE-68D14C3C4C44
Q58812288,Roberto Campos Neto,Q109920163,Banco Central do Brasil,2019-02-28,,Q58812288-D525CBAA-C98B-467F-969D-072A76622FCE
Q64682549,Luiz Eduardo Ramos,Q98609740,Secretaria-Geral da Presidência da República,2021-07-26,,Q64682549-AA9425DE-600C-45F9-8794-D0C9C54063E7
Q65936522,Adolfo Sachsida,Q59346269,Ministério de Minas e Energia,2022-05-11,,Q65936522-2539ba0c-46b7-510d-f325-f4c28d039bb0
Q94787924,Eduardo Pazuello,Q109920210,Secretário de Estudos Estratégicos,2021-06-01,,Q94787924-C665328C-5C8F-4B0E-9C3C-247B81E3F7CC
Q9637698,Augusto Heleno,Q99236096,Gabinete de Segurança Institucional,2019-01-01,,Q9637698-82449510-49c8-8133-a3c8-076c480ca5ba
